swimmer,team,gender,class_yr,points,season
"Banse, Aaron C",Carleton,Male,FR,399.70,2021-2022
"Bronstone, Aaron M",Carleton,Male,FR,517.55,2021-2022
"Chen, Kevin",Carleton,Male,JR,548.30,2021-2022
"Eldridge, Collin C",Carleton,Male,FR,497.85,2021-2022
"Eriksen, Dawson",Carleton,Male,JR,453.20,2021-2022
"Glaubitz, Flaminio S",Carleton,Male,FR,589.20,2021-2022
"Hedgecock, Nathan E",Carleton,Male,JR,556.80,2021-2022
"Jalili, Aidan A",Carleton,Male,FR,550.55,2021-2022
"Jia, Byron",Carleton,Male,FR,550.35,2021-2022
"Johnson, Parker A",Carleton,Male,JR,495.45,2021-2022
"Johnson, Teagan R",Carleton,Male,JR,583.80,2021-2022
"Krajc, Charles",Carleton,Male,FR,510.70,2021-2022
"Maring, Christopher T",Carleton,Male,FR,463.75,2021-2022
"Marlin, James E",Carleton,Male,JR,508.70,2021-2022
"Nik, Adam N",Carleton,Male,–,557.15,2021-2022
"Offman, Eli",Carleton,Male,SR,388.55,2021-2022
"Rene, Morgann",Carleton,Male,FR,498.90,2021-2022
"Scott, Ian P",Carleton,Male,FR,590.40,2021-2022
"Serota, Maxwell B",Carleton,Male,FR,503.00,2021-2022
"Smith, Sean E",Carleton,Male,FR,584.75,2021-2022
"Surdutovich, Joseph P",Carleton,Male,JR,373.40,2021-2022
"Tun, Ethan",Carleton,Male,FR,595.05,2021-2022
"Willmore, Benjamin",Carleton,Male,SR,587.40,2021-2022
"Wonacott, Rhys P",Carleton,Male,FR,439.75,2021-2022
"Wu, Joshua L",Carleton,Male,FR,613.50,2021-2022
"Yuan, Allen",Carleton,Male,SR,529.55,2021-2022
"Zhang, Carl Y",Carleton,Male,JR,547.35,2021-2022
"Baggett, Sophie M",Carleton,Female,JR,528.55,2021-2022
"Berets, Lillian",Carleton,Female,JR,336.50,2021-2022
"Bernhard, Lorraine C",Carleton,Female,JR,554.00,2021-2022
"Boettiger, Lindsay E",Carleton,Female,JR,346.00,2021-2022
"Boyum, Lydia R",Carleton,Female,SR,542.00,2021-2022
"Bradjan, Victoria D",Carleton,Female,FR,518.55,2021-2022
"Cameron, Alison S",Carleton,Female,SR,582.65,2021-2022
"Chatard, Elizabeth",Carleton,Female,FR,525.40,2021-2022
"Crampton, Caroline H",Carleton,Female,FR,514.70,2021-2022
"Czerniecki, Vanessa",Carleton,Female,FR,380.26,2021-2022
"Damberg-Ott, Madeline",Carleton,Female,JR,567.15,2021-2022
"Drummond, Jenna D",Carleton,Female,FR,514.15,2021-2022
"Halladay, Anna F",Carleton,Female,JR,397.30,2021-2022
"Hanson, Grace E",Carleton,Female,FR,455.45,2021-2022
"Hoganson, Annemily G",Carleton,Female,SO,332.50,2021-2022
"Horwitz, Rebecca",Carleton,Female,SR,385.80,2021-2022
"Hultgren, Kristin S",Carleton,Female,JR,269.95,2021-2022
"Johnson, Aleia",Carleton,Female,FR,502.65,2021-2022
"Kirkland, Kapani",Carleton,Female,SR,–,2021-2022
"Lafferty, Natalie D",Carleton,Female,SR,513.70,2021-2022
"Lee, Serena",Carleton,Female,SR,536.95,2021-2022
"Luljak, Julia C",Carleton,Female,JR,556.00,2021-2022
"Marks, Abigail R",Carleton,Female,FR,409.65,2021-2022
"Nagaoka, Yuki",Carleton,Female,SR,454.95,2021-2022
"Nagpal, Jivana",Carleton,Female,FR,373.35,2021-2022
"Neid, Claire",Carleton,Female,SR,524.65,2021-2022
"Neiman-Golden, Anna",Carleton,Female,JR,–,2021-2022
"Orenstein, Talia A",Carleton,Female,JR,429.10,2021-2022
"Quattrucci, Isabella",Carleton,Female,SR,389.00,2021-2022
"Riley, Isabelle C",Carleton,Female,FR,491.15,2021-2022
"Rosenberg, Ashley N",Carleton,Female,FR,535.80,2021-2022
"Russell, Brenna",Carleton,Female,FR,–,2021-2022
"Sheridan, Samantha K",Carleton,Female,FR,547.35,2021-2022
"Smith, Madison T",Carleton,Female,SR,555.00,2021-2022
"Soehnlin, Natalie",Carleton,Female,JR,270.25,2021-2022
"Soforenko, Vivianne",Carleton,Female,SO,–,2021-2022
"Tartaglia, Andrea",Carleton,Female,SR,–,2021-2022
"Wrigley, Emma R",Carleton,Female,SR,–,2021-2022
"Andersen, Rachel A",Concordia-Moorhead,Female,SO,399.55,2021-2022
"Biebl, Lindsey",Concordia-Moorhead,Female,JR,318.70,2021-2022
"Bray, Jessica L",Concordia-Moorhead,Female,JR,482.15,2021-2022
"Cramer, Kaitlin",Concordia-Moorhead,Female,JR,486.15,2021-2022
"Darling, Kiernan",Concordia-Moorhead,Female,FR,–,2021-2022
"Gunderson, Camille A",Concordia-Moorhead,Female,JR,434.70,2021-2022
"Jaeger, Hailey C",Concordia-Moorhead,Female,FR,579.95,2021-2022
"Oswald, Emily",Concordia-Moorhead,Female,–,385.50,2021-2022
"Rasmussen, Alexandra",Concordia-Moorhead,Female,SR,486.64,2021-2022
"Schmidt, Chantelle",Concordia-Moorhead,Female,FR,331.10,2021-2022
"Timm, Brienna",Concordia-Moorhead,Female,SO,423.65,2021-2022
"Zeleny, Audrey",Concordia-Moorhead,Female,JR,421.20,2021-2022
"Becker, Andrew E",Gustavus,Male,JR,672.80,2021-2022
"Boie, Brady W",Gustavus,Male,SO,589.05,2021-2022
"Brustad, Chase A",Gustavus,Male,SO,478.85,2021-2022
"Copple, Kade R",Gustavus,Male,SO,576.95,2021-2022
"Cordano, Jonathan",Gustavus,Male,FR,603.80,2021-2022
"Dawson, Jared E",Gustavus,Male,JR,647.50,2021-2022
"Engle, Denis",Gustavus,Male,SR,335.60,2021-2022
"Fagley, Calvin A",Gustavus,Male,SO,466.60,2021-2022
"Fitch, Michael K",Gustavus,Male,FR,459.15,2021-2022
"Franko-Dynes, Dutch W",Gustavus,Male,SR,644.40,2021-2022
"Frese, Noah J",Gustavus,Male,SR,516.70,2021-2022
"Gulaid, Liam I",Gustavus,Male,FR,354.85,2021-2022
"Haglund, Noah A",Gustavus,Male,FR,478.95,2021-2022
"Haugstad, Chad J",Gustavus,Male,SR,547.70,2021-2022
"Hill, Nyden F",Gustavus,Male,FR,625.00,2021-2022
"Hoffman, Noah",Gustavus,Male,–,454.50,2021-2022
"Horgan, Alexander M",Gustavus,Male,SR,297.05,2021-2022
"Hudson, Dane W",Gustavus,Male,JR,615.60,2021-2022
"Hussein, Farrque",Gustavus,Male,SR,537.70,2021-2022
"Jensen, Andrew Y",Gustavus,Male,SO,–,2021-2022
"Johnson, Alex",Gustavus,Male,FR,484.00,2021-2022
"Johnson, Teddy",Gustavus,Male,JR,536.70,2021-2022
"Kawlewski, Ryan",Gustavus,Male,SR,665.05,2021-2022
"Klarqvist, Lukas",Gustavus,Male,SR,510.35,2021-2022
"Krusell, Jacob",Gustavus,Male,JR,448.10,2021-2022
"Lester, Ryan",Gustavus,Male,FR,–,2021-2022
"Malecha, Bryce",Gustavus,Male,SO,512.70,2021-2022
"McCullough, Eamonn",Gustavus,Male,SR,648.95,2021-2022
"Metzger, Jacob J",Gustavus,Male,FR,553.15,2021-2022
"Nguyen, Marcus V",Gustavus,Male,FR,428.90,2021-2022
"Richardson, Peyton",Gustavus,Male,SO,669.75,2021-2022
"Ricker, Joseph",Gustavus,Male,FR,477.85,2021-2022
