swimmer,team,gender,class_yr,points,season
"Altaweel, William M",Carleton,Male,FR,545.40,2017-2018
"Battiste, Alexander",Carleton,Male,JR,591.35,2017-2018
"Belzer, Tristan A",Carleton,Male,FR,488.05,2017-2018
"Chang, Andrew",Carleton,Male,FR,590.05,2017-2018
"Conati, Ari F",Carleton,Male,SO,528.85,2017-2018
"Dalluge, Jacob A",Carleton,Male,SO,648.75,2017-2018
"Darwish, Sam",Carleton,Male,SO,586.60,2017-2018
"Fitch, Stephen D",Carleton,Male,FR,619.30,2017-2018
"Greenvall, Benjamin",Carleton,Male,JR,565.70,2017-2018
"Heinzel, John",Carleton,Male,FR,574.00,2017-2018
"Hernandez, Oscar",Carleton,Male,FR,205.74,2017-2018
"Heuchert, Christian H",Carleton,Male,SO,461.10,2017-2018
"Lee, Grant H",Carleton,Male,FR,478.95,2017-2018
"Lekki, Spencer",Carleton,Male,FR,485.55,2017-2018
"Meyer, Eric",Carleton,Male,SO,517.35,2017-2018
"Mikolchak, Alex",Carleton,Male,FR,376.45,2017-2018
"Peters, Logan",Carleton,Male,FR,377.00,2017-2018
"Reeves, Nick",Carleton,Male,SO,606.70,2017-2018
"Soehnlin, Jeremy R",Carleton,Male,FR,361.73,2017-2018
"Stahl, Axel",Carleton,Male,FR,370.00,2017-2018
"Wetzel, Ryan M",Carleton,Male,SO,553.95,2017-2018
"Winter, Jacob H",Carleton,Male,FR,567.65,2017-2018
"Zheng, Alan",Carleton,Male,SO,342.20,2017-2018
"Aylward, Hannah E",Carleton,Female,JR,535.45,2017-2018
"Bergman, Meredith",Carleton,Female,JR,498.10,2017-2018
"Conn, Josephine M",Carleton,Female,FR,404.95,2017-2018
"Culver, Emily L",Carleton,Female,SR,489.60,2017-2018
"Dowling, Eveline",Carleton,Female,JR,531.00,2017-2018
"Dyke, Erin",Carleton,Female,FR,481.97,2017-2018
"Emmons, Madeleine",Carleton,Female,SO,322.05,2017-2018
