swimmer,team,gender,class_yr,points,season
"Altaweel, William M",Carleton,Male,JR,503.10,2019-2020
"Belzer, Tristan A",Carleton,Male,JR,454.90,2019-2020
"Chang, Andrew",Carleton,Male,JR,546.50,2019-2020
"Chen, Kevin",Carleton,Male,FR,510.70,2019-2020
"Conati, Ari F",Carleton,Male,SR,533.25,2019-2020
"Dalluge, Jacob A",Carleton,Male,SR,576.60,2019-2020
"Darwish, Sam",Carleton,Male,SR,559.55,2019-2020
"Donnelly, Phillip J",Carleton,Male,SO,–,2019-2020
"El-Fishawy, Luke",Carleton,Male,FR,–,2019-2020
"Eriksen, Dawson",Carleton,Male,FR,574.15,2019-2020
"Fitch, Stephen D",Carleton,Male,JR,581.10,2019-2020
"Hedgecock, Nathan E",Carleton,Male,FR,580.05,2019-2020
"Heinzel, John",Carleton,Male,JR,622.80,2019-2020
"Heuchert, Christian H",Carleton,Male,SR,442.80,2019-2020
"Johnson, Parker A",Carleton,Male,FR,484.90,2019-2020
"Johnson, Teagan R",Carleton,Male,FR,580.35,2019-2020
"Lekki, Spencer",Carleton,Male,JR,486.50,2019-2020
"Marlin, James E",Carleton,Male,FR,501.50,2019-2020
"Meyer, Eric",Carleton,Male,SR,421.85,2019-2020
"Offman, Eli",Carleton,Male,SO,529.80,2019-2020
"Peters, Logan",Carleton,Male,JR,342.00,2019-2020
"Reeves, Nick",Carleton,Male,SR,550.60,2019-2020
"Stahl, Axel",Carleton,Male,JR,376.75,2019-2020
"Surdutovich, Joseph P",Carleton,Male,FR,324.51,2019-2020
"Wetzel, Ryan M",Carleton,Male,SR,536.80,2019-2020
"Willmore, Benjamin",Carleton,Male,SO,565.10,2019-2020
"Winter, Jacob H",Carleton,Male,JR,449.65,2019-2020
"Yuan, Allen",Carleton,Male,SO,545.90,2019-2020
"Zhang, Carl Y",Carleton,Male,FR,545.40,2019-2020
"Baggett, Sophie M",Carleton,Female,FR,563.50,2019-2020
"Bernhard, Lorraine C",Carleton,Female,FR,532.75,2019-2020
"Boettiger, Lindsay E",Carleton,Female,FR,454.80,2019-2020
"Boyum, Lydia R",Carleton,Female,SO,537.15,2019-2020
"Cameron, Alison S",Carleton,Female,SO,590.70,2019-2020
"Conn, Josephine M",Carleton,Female,JR,406.90,2019-2020
"Damberg-Ott, Madeline",Carleton,Female,FR,549.10,2019-2020
"Emmons, Madeleine",Carleton,Female,SR,311.50,2019-2020
"Fraser-Mines, Kyle",Carleton,Female,JR,590.60,2019-2020
"Grossman, Katherine R",Carleton,Female,JR,502.95,2019-2020
"Halladay, Anna F",Carleton,Female,FR,464.60,2019-2020
"Horwitz, Rebecca",Carleton,Female,SO,429.05,2019-2020
