swimmer,team,gender,class_yr,points,season
"Anderson, Hans",Carleton,Male,FR,–,2022-2023
"Banse, Aaron C",Carleton,Male,SO,447.90,2022-2023
"Brewster, William",Carleton,Male,SR,399.05,2022-2023
"Bronstone, Aaron M",Carleton,Male,SO,592.10,2022-2023
"Chang, Nicholas J",Carleton,Male,FR,564.30,2022-2023
"Chen, Kevin",Carleton,Male,SR,600.70,2022-2023
"Clausman, William M",Carleton,Male,FR,361.40,2022-2023
"Eldridge, Collin C",Carleton,Male,SO,531.25,2022-2023
"Glaubitz, Flaminio S",Carleton,Male,SO,663.75,2022-2023
"Guan, Zhengyang",Carleton,Male,FR,621.00,2022-2023
"Hedgecock, Nathan E",Carleton,Male,SR,507.85,2022-2023
"Jalili, Aidan A",Carleton,Male,SO,574.50,2022-2023
"Jia, Byron",Carleton,Male,SO,552.00,2022-2023
"Johnson, Parker A",Carleton,Male,SR,526.75,2022-2023
"Johnson, Teagan R",Carleton,Male,SR,609.35,2022-2023
"Kong, Jeffrey",Carleton,Male,FR,505.45,2022-2023
"Krajc, Charles",Carleton,Male,SO,453.55,2022-2023
"Maring, Christopher T",Carleton,Male,SO,503.30,2022-2023
"Marlin, James E",Carleton,Male,SR,464.35,2022-2023
"Ruppe, Charlie F",Carleton,Male,FR,490.65,2022-2023
"Scott, Ian P",Carleton,Male,SO,602.10,2022-2023
"Serota, Maxwell B",Carleton,Male,SO,500.80,2022-2023
"Smith, Sean E",Carleton,Male,SO,584.15,2022-2023
"Surdutovich, Joseph P",Carleton,Male,SR,376.05,2022-2023
"Tun, Ethan",Carleton,Male,SO,669.90,2022-2023
"Wonacott, Rhys P",Carleton,Male,SO,452.05,2022-2023
"Wu, Joshua L",Carleton,Male,SO,616.35,2022-2023
"Zhang, Carl Y",Carleton,Male,SR,576.20,2022-2023
"Baggett, Sophie M",Carleton,Female,SR,540.15,2022-2023
"Baranov, Stephanie V",Carleton,Female,FR,531.65,2022-2023
"Berets, Lillian",Carleton,Female,SR,387.45,2022-2023
"Bernhard, Lorraine C",Carleton,Female,SR,598.20,2022-2023
"Boettiger, Lindsay E",Carleton,Female,SR,390.65,2022-2023
"Chatard, Elizabeth",Carleton,Female,SO,544.00,2022-2023
"Crampton, Caroline H",Carleton,Female,SO,536.85,2022-2023
"Damberg-Ott, Madeline",Carleton,Female,SR,583.80,2022-2023
"Drummond, Jenna D",Carleton,Female,SO,512.70,2022-2023
"Halladay, Anna F",Carleton,Female,SR,392.35,2022-2023
"Hebard, Eleanor J",Carleton,Female,FR,571.20,2022-2023
